t,r,r_dot,r_dot_dot,psi,psi_dot
1.59480001000117196930E+02,1.00270941687524777573E+01,-2.80054213332226907286E-01,-8.95411502839815380145E-03,3.44318021591523180307E+00,9.94603109778825035218E-03
1.59495001000117211931E+02,1.00186885110073958145E+01,-2.80323049622701298759E-01,-8.96831268436192945838E-03,3.44347884714071750538E+00,9.96272749564055405263E-03
1.59510001000117226932E+02,1.00102747817777726633E+01,-2.80592312552662798559E-01,-8.98255769992316958883E-03,3.44377798012995373664E+00,9.97948206445346937042E-03
1.59525001000117241934E+02,1.00018529682430786960E+01,-2.80862003546278753591E-01,-8.99685030061820435514E-03,3.44407761663240068054E+00,9.99629509330680848192E-03
1.59540001000117256935E+02,9.99342305753995784837E+00,-2.81132124034503697838E-01,-9.01119071339154821538E-03,3.44437775840621911616E+00,1.00131668731608181897E-02
1.59555001000117271936E+02,9.98498503676202278992E+00,-2.81402675455121759654E-01,-9.02557916660675466164E-03,3.44467840721832697470E+00,1.00300976968712715755E-02
1.59570001000117286938E+02,9.97653889295964996665E+00,-2.81673659252789391068E-01,-9.04001589005736858893E-03,3.44497956484445647975E+00,1.00470878592047014558E-02
1.59585001000117301939E+02,9.96808461313977239599E+00,-2.81945076879078443920E-01,-9.05450111497798088576E-03,3.44528123306921177913E+00,1.00641376568537814132E-02
1.59600001000117316940E+02,9.95962218426567147660E+00,-2.82216929792519559362E-01,-9.06903507405538417571E-03,3.44558341368612680252E+00,1.00812473884528534583E-02
1.59615001000117331942E+02,9.95115159325676804352E+00,-2.82489219458645902786E-01,-9.08361800143983034691E-03,3.44588610849772386405E+00,1.00984173545936034876E-02
1.59630001000117346943E+02,9.94267282698841123149E+00,-2.82761947350037244961E-01,-9.09825013275639344482E-03,3.44618931931557257223E+00,1.01156478578408890445E-02
1.59645001000117361944E+02,9.93418587229166663143E+00,-2.83035114946364372120E-01,-9.11293170511643644855E-03,3.44649304796034932795E+00,1.01329392027487180724E-02
1.59660001000117376946E+02,9.92569071595310252736E+00,-2.83308723734433845216E-01,-9.12766295712918514085E-03,3.44679729626189710148E+00,1.01502916958763827625E-02
1.59675001000117391947E+02,9.91718734471457573874E+00,-2.83582775208233119155E-01,-9.14244412891340754815E-03,3.44710206605928599216E+00,1.01677056458047471147E-02
1.59690001000117406948E+02,9.90867574527301497866E+00,-2.83857270868976001798E-01,-9.15727546210920369985E-03,3.44740735920087405125E+00,1.01851813631526941820E-02
1.59705001000117421950E+02,9.90015590428020379396E+00,-2.84132212225148470387E-01,-9.17215719988990327919E-03,3.44771317754436863105E+00,1.02027191605937305091E-02
1.59720001000117436951E+02,9.89162780834256119382E+00,-2.84407600792554847967E-01,-9.18708958697407561366E-03,3.44801952295688834515E+00,1.02203193528727534392E-02
1.59735001000117451952E+02,9.88309144402092193578E+00,-2.84683438094364352325E-01,-9.20207286963764974834E-03,3.44832639731502544602E+00,1.02379822568229789889E-02
1.59750001000117466954E+02,9.87454679783031442301E+00,-2.84959725661157978904E-01,-9.21710729572614936499E-03,3.44863380250490870766E+00,1.02557081913830363465E-02
1.59765001000117481955E+02,9.86599385623973813668E+00,-2.85236465030975791990E-01,-9.23219311466704039128E-03,3.44894174042226682800E+00,1.02734974776142268364E-02
1.59780001000117496956E+02,9.85743260567193877765E+00,-2.85513657749364565885E-01,-9.24733057748219570389E-03,3.44925021297249243500E+00,1.02913504387179529885E-02
1.59795001000117511958E+02,9.84886303250318236382E+00,-2.85791305369425802405E-01,-9.26251993680047600046E-03,3.44955922207070653164E+00,1.03092674000533170091E-02
1.59810001000117526959E+02,9.84028512306302780965E+00,-2.86069409451864132865E-01,-9.27776144687042889864E-03,3.44986876964182345609E+00,1.03272486891548915519E-02
1.59825001000117541960E+02,9.83169886363409869113E+00,-2.86347971565036094299E-01,-9.29305536357310628025E-03,3.45017885762061643365E+00,1.03452946357506632158E-02
1.59840001000117556962E+02,9.82310424045185223881E+00,-2.86626993284999309603E-01,-9.30840194443500465576E-03,3.45048948795178367041E+00,1.03634055717801548488E-02
1.59855001000117571963E+02,9.81450123970434760903E+00,-2.86906476195562033733E-01,-9.32380144864112618033E-03,3.45080066259001492254E+00,1.03815818314127243405E-02
1.59870001000117586964E+02,9.80588984753201326101E+00,-2.87186421888333126264E-01,-9.33925413704816196013E-03,3.45111238350005877177E+00,1.03998237510660422385E-02
1.59885001000117601966E+02,9.79727005002741143692E+00,-2.87466831962772372515E-01,-9.35476027219780253133E-03,3.45142465265679026696E+00,1.04181316694247544666E-02
1.59900001000117616967E+02,9.78864183323500234701E+00,-2.87747708026241259913E-01,-9.37032011833017222027E-03,3.45173747204527917444E+00,1.04365059274593267004E-02
1.59915001000117631969E+02,9.78000518315090606493E+00,-2.88029051694054122112E-01,-9.38593394139739232119E-03,3.45205084366085895235E+00,1.04549468684450766920E-02
1.59930001000117646970E+02,9.77136008572266337360E+00,-2.88310864589529704515E-01,-9.40160200907727222593E-03,3.45236476950919613589E+00,1.04734548379813940424E-02
1.59945001000117661971E+02,9.76270652684899489879E+00,-2.88593148344043149979E-01,-9.41732459078713112630E-03,3.45267925160636032105E+00,1.04920301840111509525E-02
1.59960001000117676973E+02,9.75404449237955833377E+00,-2.88875904597078379793E-01,-9.43310195769775202809E-03,3.45299429197889479496E+00,1.05106732568403065498E-02
1.59975001000117691974E+02,9.74537396811470454493E+00,-2.89159134996280920077E-01,-9.44893438274746809274E-03,3.45330989266388769642E+00,1.05293844091577052908E-02
1.59990001000117706975E+02,9.73669493980523222381E+00,-2.89442841197511134072E-01,-9.46482214065638337785E-03,3.45362605570904386597E+00,1.05481639960550723796E-02
1.60005001000117721977E+02,9.72800739315214005407E+00,-2.89727024864897891664E-01,-9.48076550794073128140E-03,3.45394278317275713985E+00,1.05670123750472106703E-02
1.60020001000117736978E+02,9.71931131380637835897E+00,-2.90011687670892679590E-01,-9.49676476292736864346E-03,3.45426007712418345081E+00,1.05859299060923971010E-02
1.60035001000117751979E+02,9.71060668736859815102E+00,-2.90296831296324125390E-01,-9.51282018576841076704E-03,3.45457793964331433159E+00,1.06049169516129854725E-02
1.60050001000117766981E+02,9.70189349938889958758E+00,-2.90582457430452980202E-01,-9.52893205845600522957E-03,3.45489637282105124349E+00,1.06239738765162135461E-02
1.60065001000117781982E+02,9.69317173536657764304E+00,-2.90868567771027555427E-01,-9.54510066483725005411E-03,3.45521537875928036986E+00,1.06431010482152216120E-02
1.60080001000117796983E+02,9.68444138074986673060E+00,-2.91155164024339577927E-01,-9.56132629062925460658E-03,3.45553495957094818471E+00,1.06622988366502811600E-02
1.60095001000117811985E+02,9.67570242093568399534E+00,-2.91442247905280528365E-01,-9.57760922343434531013E-03,3.45585511738013750590E+00,1.06815676143102366830E-02
1.60110001000117826986E+02,9.66695484126936971370E+00,-2.91729821137398425703E-01,-9.59394975275542069144E-03,3.45617585432214431511E+00,1.07009077562541665117E-02
1.60125001000117841987E+02,9.65819862704442744315E+00,-2.92017885452955084724E-01,-9.61034817001145246228E-03,3.45649717254355521548E+00,1.07203196401332593949E-02
1.60140001000117856989E+02,9.64943376350226134867E+00,-2.92306442592983813783E-01,-9.62680476855313908224E-03,3.45681907420232548632E+00,1.07398036462129149931E-02
1.60155001000117871990E+02,9.64066023583191246144E+00,-2.92595494307347620601E-01,-9.64331984367871017635E-03,3.45714156146785788360E+00,1.07593601573950670152E-02
1.60170001000117886991E+02,9.63187802916979253411E+00,-2.92885042354797871998E-01,-9.65989369264988600632E-03,3.45746463652108197489E+00,1.07789895592407345283E-02
1.60185001000117901993E+02,9.62308712859941682918E+00,-2.93175088503033433134E-01,-9.67652661470799120167E-03,3.45778830155453443152E+00,1.07986922399928011439E-02
